OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq114339,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq114339,unk_Order_of_Phylum_Firmicutes__Uniq114339,unk_Family_of_Phylum_Firmicutes__Uniq114339,unk_Genus_of_Phylum_Firmicutes__Uniq114339,unk_Species_of_Phylum_Firmicutes__Uniq114339
Uniq53046,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella_atypica
Uniq5707,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,unk_Species_of_Genus_Lachnospiraceae_FCS020_group__Uniq5707
Uniq45364,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Enterobacter
Uniq80019,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq99022,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter
Uniq52090,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq52090,unk_Order_of_Phylum_Firmicutes__Uniq52090,unk_Family_of_Phylum_Firmicutes__Uniq52090,unk_Genus_of_Phylum_Firmicutes__Uniq52090,unk_Species_of_Phylum_Firmicutes__Uniq52090
Uniq93521,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_oxytoca_E718
Uniq49372,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq49372
Uniq68685,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq68685,unk_Order_of_Phylum_Firmicutes__Uniq68685,unk_Family_of_Phylum_Firmicutes__Uniq68685,unk_Genus_of_Phylum_Firmicutes__Uniq68685,unk_Species_of_Phylum_Firmicutes__Uniq68685
