Kingdom,Phylum,Class,Order,Family,Genus,OTU
Bacteria,Firmicutes,unknown_Class_of_Firmicutes____Uniq5707,unknown_Order_of_unknown_Class_of_Firmicutes____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq99022,Uniq114339
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Uniq53046
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,Uniq5707
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Uniq45364
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Uniq80019
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Uniq99022
Bacteria,Firmicutes,unknown_Class_of_Firmicutes____Uniq5707,unknown_Order_of_unknown_Class_of_Firmicutes____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq99022,Uniq52090
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Uniq93521
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Uniq49372
Bacteria,Firmicutes,unknown_Class_of_Firmicutes____Uniq5707,unknown_Order_of_unknown_Class_of_Firmicutes____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq99022,Uniq68685
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Uniq23
Bacteria,Proteobacteria,unknown_Class_of_Proteobacteria____Uniq5707,unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq99022,Uniq40675
Bacteria,Proteobacteria,unknown_Class_of_Proteobacteria____Uniq5707,unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Proteobacteria____Uniq99022,Uniq91648
Bacteria,Bacteroidetes,unknown_Class_of_Bacteroidetes____Uniq5707,unknown_Order_of_unknown_Class_of_Bacteroidetes____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Bacteroidetes____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Bacteroidetes____Uniq99022,Uniq88862
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Uniq53867
Bacteria,Firmicutes,unknown_Class_of_Firmicutes____Uniq5707,unknown_Order_of_unknown_Class_of_Firmicutes____Uniq45364,unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_unknown_Class_of_Firmicutes____Uniq99022,Uniq110033
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Uniq42
Bacteria,Firmicutes,Clostridia,unknown_Order_of_Clostridia____Uniq45364,unknown_Family_of_unknown_Order_of_Clostridia____Uniq80019,unknown_Genus_of_unknown_Family_of_unknown_Order_of_Clostridia____Uniq99022,Uniq68146
